Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Pune,"24,83,000","3,72,450","1,24,973"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Pune,"25,18,000","3,77,700","1,26,323"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Pune,"26,33,000","3,94,950","1,30,758"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Pune,"26,83,000","4,02,450","1,32,686"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Pune,"26,83,000","4,02,450","1,32,686"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Pune,"27,18,000","4,07,700","1,34,035"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Pune,"28,33,000","4,24,950","1,38,470"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Pune,"28,33,000","4,24,950","1,38,470"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Pune,"28,83,000","4,32,450","1,40,398"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Pune,"30,33,000","4,54,950","1,46,183"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Pune,"32,41,000","4,86,150","1,54,204"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Hyderabad,"18,99,000","3,45,516","84,344"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Hyderabad,"24,83,000","4,50,636","1,00,108"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Hyderabad,"25,18,000","4,56,936","1,01,053"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Hyderabad,"26,33,000","4,77,636","1,04,158"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Hyderabad,"26,83,000","4,86,636","1,05,507"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Hyderabad,"26,83,000","4,86,636","1,05,507"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Hyderabad,"27,18,000","4,92,936","1,06,452"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Hyderabad,"28,33,000","5,13,636","1,09,556"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Hyderabad,"28,33,000","5,13,636","1,09,556"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Hyderabad,"28,83,000","5,22,636","1,10,906"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Hyderabad,"30,33,000","5,49,636","1,14,955"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Hyderabad,"32,41,000","5,87,076","1,20,569"
